Section,ID,Type,Title,Description,Priority,Status,Owner,StartDate,DueDate,DependsOn,LinkedAC,AC_ID,Given,When,Then,Method,Path,Purpose,Headers/Notes,Name,Scope,Notes,Default,Field,Format,RiskID,Risk,Mitigation,Severity
Backlog,M5,Milestone,Validation & Handover,Run validation on two pools; docs,Medium,Todo,,2025-08-20,2025-08-21,,,,,,,,,,,,,,,,,,,,
Backlog,M5-1,Task,Validation pass,Manual sanity check vs Solscan,Medium,Todo,,2025-08-20,2025-08-21,M5,AC-7,,,,,,,,,,,,,,,,,,
Backlog,M5-2,Task,Docs & handover,"README: deploy, env vars, troubleshooting",Medium,Todo,,2025-08-20,2025-08-21,M5,,,,,,,,,,,,,,,,,,,
Acceptance Criteria,,,Parity UI — Tabs & Inputs,,,,,,,,,AC-1,Given the user opens the app on desktop,When the app loads,Then the UI shows PositionPnL & WalletPoolPnL tabs with parameter panels mirroring the extension,,,,,,,,,,,,,,
Acceptance Criteria,,,Find Transactions,,,,,,,,,AC-2,Given a pool and date range are set,When the user clicks Find Transactions,"Then the app paginates Solscan add/remove-liquidity events and displays a table with tx_id, tx_time_iso, tx_type, wallet_address (if resolvable), and links",,,,,,,,,,,,,,
Acceptance Criteria,,,Find Positions,,,,,,,,,AC-3,Given transactions are listed,When the user clicks Find Positions,"Then the app resolves positions (position_address, wallet_address) and marks rows accordingly",,,,,,,,,,,,,,
Acceptance Criteria,,,Fetch Position Data & PnL,,,,,,,,,AC-4,Given at least one position is identified,When the user clicks Fetch Position Data,Then the app retrieves position details and computes realized pnl_usd and duration_hours,,,,,,,,,,,,,,
Acceptance Criteria,,,CSV Export,,,,,,,,,AC-5,Given the current table has data,When the user clicks Export CSV,Then a CSV downloads with the approved schema and formatting,,,,,,,,,,,,,,
Acceptance Criteria,,,Error Handling,,,,,,,,,AC-6,Given an upstream request fails,When the proxy/API returns an error,Then the app shows a clear message and a Retry action; transient errors auto-retry once,,,,,,,,,,,,,,
Acceptance Criteria,,,Performance Guardrails,,,,,,,,,AC-7,"Given a typical query (< 1,000 tx)",When the user runs the flow end-to-end,Then the app remains responsive and tables stay interactive,,,,,,,,,,,,,,
Endpoints,solscan-account-txs,,,,,,,,,,,,,,,GET,/api/solscan/account-transactions,Solscan v2 account activity (paging),"x-api-key (if required), origin spoof via proxy, backoff",,,,,,,,,,
Endpoints,solscan-tx-details,,,,,,,,,,,,,,,GET,/api/solscan/tx/:signature,Transaction details lookup,Same as above,,,,,,,,,,
Endpoints,meteora-pool,,,,,,,,,,,,,,,GET,/api/meteora/pool/:slug,Pool metadata/params,x-api-key and Referer via proxy,,,,,,,,,,
Endpoints,meteora-position,,,,,,,,,,,,,,,GET,/api/meteora/position/:address,Position/state details,x-api-key and Referer via proxy,,,,,,,,,,
Endpoints,ping,,,,,,,,,,,,,,,GET,/api/ping,Health check,None,,,,,,,,,,
Environment Variables,,,,,,,,,,,,,,,,,,API key for Meteora endpoints if required,,METEORA_API_KEY,Server,Set on Vercel; never exposed client-side,,,,,,,
Environment Variables,,,,,,,,,,,,,,,,,,Referer header value expected by upstream,,UPSTREAM_REFERER,Server,Set on Vercel; injected in proxy requests,,,,,,,
Environment Variables,,,,,,,,,,,,,,,,,,If Solscan enforces API keys on selected endpoints,,SOLSCAN_API_KEY,Server,Optional; set if needed,,,,,,,
Environment Variables,,,,,,,,,,,,,,,,,,Proxy side throttling per IP,,RATE_LIMIT_RPS,Server,Default 5,Optional,,,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,"Pool slug (e.g., SLOP-SOL)",,pool_slug,,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,Pool address,,pool_address,,,,,
CSV Export Fields,,integer,,,,,,,,,,,,,,,,,,,,DLMM bin step,,bin_step,,,,,
CSV Export Fields,,integer,,,,,,,,,,,,,,,,,,,,Pool fee in basis points,,fee_bps,,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,LP wallet address,,wallet_address,,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,Position account,,position_address,,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,Signature,,tx_id,,,,,
CSV Export Fields,,enum,,,,,,,,,,,,,,,,,,,,Liquidity action type,,tx_type,ADD|REMOVE,,,,
CSV Export Fields,,datetime,,,,,,,,,,,,,,,,,,,,Timestamp in UTC,,tx_time_iso,UTC ISO 8601,,,,
CSV Export Fields,,integer,,,,,,,,,,,,,,,,,,,,Epoch seconds,,tx_time_unix,seconds,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,,,tokenA_symbol,,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,,,tokenB_symbol,,,,,
CSV Export Fields,,number,,,,,,,,,,,,,,,,,,,,Token A amount (+add / -remove),,delta_tokenA,,,,,
CSV Export Fields,,number,,,,,,,,,,,,,,,,,,,,Token B amount (+add / -remove),,delta_tokenB,,,,,
CSV Export Fields,,number,,,,,,,,,,,,,,,,,,,,Trading fees attributed to row,,fees_usd,2dp,,,,
CSV Export Fields,,number,,,,,,,,,,,,,,,,,,,,Realized PnL for row,,pnl_usd,2dp,,,,
CSV Export Fields,,number,,,,,,,,,,,,,,,,,,,,Time between paired add/remove,,duration_hours,,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,Convenience link,,solscan_url,,,,,
CSV Export Fields,,string,,,,,,,,,,,,,,,,,,,,Convenience link,,metlex_url,,,,,
Risks,,,,,,Open,,,,,,,,,,,,,,,,,,,,R1,CORS/Headers enforcement upstream,Proxy injects headers; server-side key storage; fallback messaging,High
Risks,,,,,,Open,,,,,,,,,,,,,,,,,,,,R2,Rate limiting / timeouts,Retry with jitter; token bucket; user Retry,Medium
Risks,,,,,,Open,,,,,,,,,,,,,,,,,,,,R3,Data mismatches vs Solscan,Row links for manual verification; clear provenance,Medium
Risks,,,,,,Open,,,,,,,,,,,,,,,,,,,,R4,Secret leakage,Keys never in client; Vercel env vars only,High
